contact_id,account_id,full_name,role,seniority,email,engagement_score,product_interests
CNT-9000100,ACME-EU-90001,Elena Muller,Head of Ops,VP,elena.muller@acmeCNT-9000100.example,0.26,"PROD-03,PROD-01"
CNT-9000101,ACME-EU-90001,Elena De Vries,Other,VP,elena.de vries@acmeCNT-9000101.example,0.7,PROD-02
CNT-9000102,ACME-EU-90001,Marta Lopez,Compliance,Individual Contributor,marta.lopez@acmeCNT-9000102.example,0.2,PROD-01
CNT-9000200,ACME-EU-90002,Lars Rossi,Compliance,VP,lars.rossi@acmeCNT-9000200.example,0.13,PROD-01
CNT-9000201,ACME-EU-90002,Luca Dubois,Compliance,C-Level,luca.dubois@acmeCNT-9000201.example,0.32,PROD-01
CNT-9000202,ACME-EU-90002,Hans Schmidt,Head of Ops,Director,hans.schmidt@acmeCNT-9000202.example,0.24,PROD-02
CNT-9000203,ACME-EU-90002,Sven Schmidt,COO,VP,sven.schmidt@acmeCNT-9000203.example,0.28,PROD-03
CNT-9000300,ACME-EU-90003,Luca De Vries,Head of Ops,C-Level,luca.de vries@acmeCNT-9000300.example,0.54,"PROD-02,PROD-03"
CNT-9000301,ACME-EU-90003,Marta Schmidt,COO,Manager,marta.schmidt@acmeCNT-9000301.example,0.78,"PROD-01,PROD-01"
CNT-9000302,ACME-EU-90003,Sven Muller,CFO,VP,sven.muller@acmeCNT-9000302.example,0.8,PROD-02
CNT-9000303,ACME-EU-90003,Sven Muller,CFO,C-Level,sven.muller@acmeCNT-9000303.example,0.66,PROD-02
CNT-9000304,ACME-EU-90003,Marta Muller,Other,Director,marta.muller@acmeCNT-9000304.example,0.32,"PROD-01,PROD-02"
CNT-9000400,ACME-EU-90004,Dieter Garcia,Portfolio Manager,C-Level,dieter.garcia@acmeCNT-9000400.example,0.87,"PROD-03,PROD-03"
CNT-9000401,ACME-EU-90004,Anna Lefebvre,Portfolio Manager,Individual Contributor,anna.lefebvre@acmeCNT-9000401.example,0.36,PROD-01
CNT-9000402,ACME-EU-90004,Dieter Jansen,Other,VP,dieter.jansen@acmeCNT-9000402.example,0.73,PROD-01
CNT-9000500,ACME-EU-90005,Anna Schmidt,Compliance,VP,anna.schmidt@acmeCNT-9000500.example,0.29,"PROD-01,PROD-01"
CNT-9000501,ACME-EU-90005,Luca Lopez,COO,C-Level,luca.lopez@acmeCNT-9000501.example,0.62,"PROD-03,PROD-01"
CNT-9000502,ACME-EU-90005,Hans Rossi,CEO,Individual Contributor,hans.rossi@acmeCNT-9000502.example,0.25,"PROD-03,PROD-03"
CNT-9000503,ACME-EU-90005,Luca Schmidt,CEO,C-Level,luca.schmidt@acmeCNT-9000503.example,0.76,PROD-01
CNT-9000600,ACME-EU-90006,Sofia Dubois,COO,VP,sofia.dubois@acmeCNT-9000600.example,0.37,"PROD-01,PROD-03"
CNT-9000601,ACME-EU-90006,Sofia Rossi,CEO,C-Level,sofia.rossi@acmeCNT-9000601.example,0.83,PROD-01
CNT-9000602,ACME-EU-90006,Marta Dubois,IT,Individual Contributor,marta.dubois@acmeCNT-9000602.example,0.75,PROD-02
CNT-9000700,ACME-EU-90007,Sofia Dubois,COO,VP,sofia.dubois@acmeCNT-9000700.example,0.32,PROD-03
CNT-9000701,ACME-EU-90007,Sofia Garcia,Other,Director,sofia.garcia@acmeCNT-9000701.example,0.41,PROD-03
CNT-9000702,ACME-EU-90007,Lars Lefebvre,Compliance,Individual Contributor,lars.lefebvre@acmeCNT-9000702.example,0.19,"PROD-02,PROD-03"
CNT-9000800,ACME-EU-90008,Marta Jansen,CFO,VP,marta.jansen@acmeCNT-9000800.example,0.82,"PROD-02,PROD-02"
CNT-9000801,ACME-EU-90008,Sven Dubois,Head of Ops,C-Level,sven.dubois@acmeCNT-9000801.example,0.39,"PROD-01,PROD-01"
CNT-9000802,ACME-EU-90008,Luca De Vries,Compliance,C-Level,luca.de vries@acmeCNT-9000802.example,0.86,PROD-02
CNT-9000803,ACME-EU-90008,Lars Lopez,CFO,VP,lars.lopez@acmeCNT-9000803.example,0.69,PROD-02
CNT-9000900,ACME-EU-90009,Lars Dubois,Portfolio Manager,C-Level,lars.dubois@acmeCNT-9000900.example,0.3,PROD-01
CNT-9000901,ACME-EU-90009,Luca Lopez,CEO,Manager,luca.lopez@acmeCNT-9000901.example,0.93,"PROD-02,PROD-01"
CNT-9000902,ACME-EU-90009,Anna Jansen,Other,Director,anna.jansen@acmeCNT-9000902.example,0.43,PROD-03
CNT-9001000,ACME-EU-90010,Lars Rossi,Head of Ops,VP,lars.rossi@acmeCNT-9001000.example,0.7,PROD-02
