contact_id,account_id,name,role,email,is_primary
CON-86820,ACME-EU-90001,Philip Lefebvre,Investment Director,philip.lefebvre@external.com,True
CON-47194,ACME-EU-90001,Thomas Lefebvre,General Counsel,thomas.lefebvre@external.com,False
CON-54131,ACME-EU-90001,Sophie Vermeulen,Head of Fund Operations,sophie.vermeulen@external.com,False
CON-10769,ACME-EU-90001,Elena Vermeulen,Head of Fund Operations,elena.vermeulen@external.com,False
CON-93104,ACME-EU-90002,Sophie Rossi,General Counsel,sophie.rossi@external.com,True
CON-81932,ACME-EU-90002,Anne Schmidt,Investment Director,anne.schmidt@external.com,False
CON-35658,ACME-EU-90002,James Smith,Investment Director,james.smith@external.com,False
CON-12747,ACME-EU-90003,Sophie Rossi,General Counsel,sophie.rossi@external.com,True
CON-76803,ACME-EU-90003,Sarah Lefebvre,Head of Fund Operations,sarah.lefebvre@external.com,False
CON-13890,ACME-EU-90003,Thomas Vermeulen,Chief Financial Officer,thomas.vermeulen@external.com,False
CON-97313,ACME-EU-90003,James Lefebvre,Compliance Officer,james.lefebvre@external.com,False
CON-53001,ACME-EU-90004,Elena Müller,Investment Director,elena.müller@external.com,True
CON-33483,ACME-EU-90004,Anne Vermeulen,Chief Financial Officer,anne.vermeulen@external.com,False
CON-90077,ACME-EU-90005,Philip Lefebvre,Investment Director,philip.lefebvre@external.com,True
CON-79479,ACME-EU-90005,Sarah Müller,Chief Financial Officer,sarah.müller@external.com,False
CON-87189,ACME-EU-90005,Anne Schmidt,Investment Director,anne.schmidt@external.com,False
CON-19692,ACME-EU-90005,Sarah Schmidt,General Counsel,sarah.schmidt@external.com,False
CON-75697,ACME-EU-90006,Anne Rossi,General Counsel,anne.rossi@external.com,True
CON-42606,ACME-EU-90006,Elena Rossi,General Counsel,elena.rossi@external.com,False
CON-65591,ACME-EU-90006,James Schmidt,Investment Director,james.schmidt@external.com,False
CON-84065,ACME-EU-90006,Sophie Vermeulen,Compliance Officer,sophie.vermeulen@external.com,False
CON-73704,ACME-EU-90007,Sophie Müller,Compliance Officer,sophie.müller@external.com,True
CON-48044,ACME-EU-90007,Sarah Rossi,Investment Director,sarah.rossi@external.com,False
CON-50774,ACME-EU-90007,James Smith,Compliance Officer,james.smith@external.com,False
CON-77563,ACME-EU-90007,Sophie Smith,Chief Financial Officer,sophie.smith@external.com,False
CON-43159,ACME-EU-90008,Thomas Smith,Head of Fund Operations,thomas.smith@external.com,True
CON-22666,ACME-EU-90008,Thomas Smith,Head of Fund Operations,thomas.smith@external.com,False
CON-74505,ACME-EU-90008,Anne Lefebvre,Compliance Officer,anne.lefebvre@external.com,False
CON-18392,ACME-EU-90008,Sarah Lefebvre,Chief Financial Officer,sarah.lefebvre@external.com,False
CON-45222,ACME-EU-90009,Sophie Lefebvre,Chief Financial Officer,sophie.lefebvre@external.com,True
CON-73335,ACME-EU-90009,Thomas Rossi,Compliance Officer,thomas.rossi@external.com,False
CON-18110,ACME-EU-90009,Thomas Smith,Head of Fund Operations,thomas.smith@external.com,False
CON-16910,ACME-EU-90010,James Vermeulen,Head of Fund Operations,james.vermeulen@external.com,True
CON-97054,ACME-EU-90010,James Lefebvre,Head of Fund Operations,james.lefebvre@external.com,False
CON-60636,ACME-EU-90010,Anne Rossi,General Counsel,anne.rossi@external.com,False
CON-97939,ACME-EU-90011,Sarah Vermeulen,Chief Financial Officer,sarah.vermeulen@external.com,True
CON-66044,ACME-EU-90011,Marcus Lefebvre,Compliance Officer,marcus.lefebvre@external.com,False
CON-65820,ACME-EU-90011,Philip Rossi,Head of Fund Operations,philip.rossi@external.com,False
CON-32299,ACME-EU-90011,Thomas Schmidt,Head of Fund Operations,thomas.schmidt@external.com,False
CON-59080,ACME-EU-90012,Philip Schmidt,General Counsel,philip.schmidt@external.com,True
CON-79163,ACME-EU-90012,Elena Rossi,Compliance Officer,elena.rossi@external.com,False
CON-31834,ACME-EU-90012,Elena Schmidt,Investment Director,elena.schmidt@external.com,False
CON-33776,ACME-EU-90013,James Lefebvre,Investment Director,james.lefebvre@external.com,True
CON-71373,ACME-EU-90013,James Dupont,Chief Financial Officer,james.dupont@external.com,False
CON-65016,ACME-EU-90013,Sarah Vermeulen,Chief Financial Officer,sarah.vermeulen@external.com,False
CON-13748,ACME-EU-90014,James Schmidt,Head of Fund Operations,james.schmidt@external.com,True
CON-76199,ACME-EU-90014,Thomas Müller,Chief Financial Officer,thomas.müller@external.com,False
CON-64384,ACME-EU-90014,Elena Smith,Head of Fund Operations,elena.smith@external.com,False
CON-93211,ACME-EU-90014,Anne Rossi,Chief Financial Officer,anne.rossi@external.com,False
CON-77172,ACME-EU-90015,Thomas Smith,General Counsel,thomas.smith@external.com,True
CON-36736,ACME-EU-90015,Sophie Smith,Chief Financial Officer,sophie.smith@external.com,False
CON-10854,ACME-EU-90015,Anne Rossi,General Counsel,anne.rossi@external.com,False
CON-56717,ACME-EU-90016,James Dupont,Chief Financial Officer,james.dupont@external.com,True
CON-36309,ACME-EU-90016,Philip Rossi,General Counsel,philip.rossi@external.com,False
CON-22688,ACME-EU-90017,Marcus Dupont,Investment Director,marcus.dupont@external.com,True
CON-75733,ACME-EU-90017,Sarah Müller,Compliance Officer,sarah.müller@external.com,False
CON-52107,ACME-EU-90017,Marcus Smith,Head of Fund Operations,marcus.smith@external.com,False
CON-59811,ACME-EU-90017,Elena Vermeulen,Head of Fund Operations,elena.vermeulen@external.com,False
CON-44754,ACME-EU-90018,Thomas Müller,Investment Director,thomas.müller@external.com,True
CON-93763,ACME-EU-90018,Sarah Lefebvre,Head of Fund Operations,sarah.lefebvre@external.com,False
CON-21111,ACME-EU-90018,James Lefebvre,Chief Financial Officer,james.lefebvre@external.com,False
CON-83656,ACME-EU-90018,Thomas Rossi,Chief Financial Officer,thomas.rossi@external.com,False
CON-95981,ACME-EU-90019,Marcus Lefebvre,General Counsel,marcus.lefebvre@external.com,True
CON-56843,ACME-EU-90019,Thomas Lefebvre,General Counsel,thomas.lefebvre@external.com,False
CON-12049,ACME-EU-90020,Sarah Rossi,Chief Financial Officer,sarah.rossi@external.com,True
CON-30932,ACME-EU-90020,Sophie Schmidt,Chief Financial Officer,sophie.schmidt@external.com,False
