account_id,account_name,contact_person,country,segment,fund_size_eur,strategic_priority_flag
ACME-EU-00001,Beacon Asset Corp (1),Robert de Jong,BE,PIAO,2177028328.213983,False
ACME-EU-00002,Pioneer Equities (2),Hans Schmidt,LU,FAM,2626244316.66403,False
ACME-EU-00003,Crestview Asset (3),Marie Lefebvre,DE,FAM,998944409.4919277,False
ACME-EU-00004,Solaris Institutional (4),Robert de Jong,LU,FAM,3752970274.604934,True
ACME-EU-00005,Vertex Portfolio (5),Klaus Fischer,BE,PIAO,3732352730.2192354,False
ACME-EU-00006,Beacon Asset Corp (6),Robert de Jong,BE,FAM,728440984.6367372,False
ACME-EU-00007,Azure Blue Fund (7),Sarah Müller,DE,PIAO,4390013934.115796,False
ACME-EU-00008,Solaris Institutional (8),Jean-Pierre Dubois,CH,PIAO,1346679507.627053,False
ACME-EU-00009,Solaris Institutional (9),Hans Schmidt,IT,FAM,4911298048.622138,False
ACME-EU-00010,Luminara Equity (10),Marco Moretti,BE,PIAO,1915132167.1721919,False
ACME-EU-00011,Vertex Portfolio (11),Erik Janssen,IT,PIAO,890242409.6137637,True
ACME-EU-00012,Rhone Global Partners (12),Julia Weber,BE,PIAO,1759248836.6169157,False
ACME-EU-00013,Alpine Peak Capital (13),Robert de Jong,NL,PIAO,2201461463.1572685,False
ACME-EU-00014,Marathon Growth (14),Luca Bianchi,DE,PIAO,347469557.4184359,False
ACME-EU-00015,Elysian Fund Mgmt (15),Isabelle Fournier,BE,FAM,2891513687.7352242,False
ACME-EU-00016,Alpine Peak Capital (16),Luca Bianchi,NL,PIAO,2988564566.904633,False
ACME-EU-00017,Silverstone Ventures (17),Sarah Müller,LU,FAM,3694913346.2920117,False
ACME-EU-00018,Marathon Growth (18),Sarah Müller,ES,FAM,146820291.56142572,False
ACME-EU-00019,Marathon Growth (19),Ana Garcia,NL,FAM,2706649833.9547167,False
ACME-EU-00020,Vanguard Legacy (20),Klaus Fischer,FR,FAM,265484258.92005125,False
ACME-EU-00021,Nexus Capital EU (21),Klaus Fischer,BE,FAM,3506019955.6133003,False
ACME-EU-00022,Obsidian Capital (22),Jean-Pierre Dubois,NL,FAM,279584200.51922137,False
ACME-EU-00023,Crestview Asset (23),Marie Lefebvre,IT,PIAO,4558727513.859821,False
ACME-EU-00024,Crestview Asset (24),Julia Weber,ES,PIAO,3510710751.8555984,True
ACME-EU-00025,Azure Blue Fund (25),Paolo Romano,CH,PIAO,2537441435.6607003,False
ACME-EU-00026,Marathon Growth (26),Robert de Jong,BE,FAM,2208078112.4825935,False
ACME-EU-00027,Pioneer Equities (27),Luca Bianchi,FR,PIAO,654232479.4358987,False
ACME-EU-00028,Rhone Global Partners (28),Isabelle Fournier,CH,PIAO,1455705948.4337509,False
ACME-EU-00029,Nordic Horizon Wealth (29),Sarah Müller,NL,PIAO,4344926565.99946,False
ACME-EU-00030,Azure Blue Fund (30),Sarah Müller,CH,FAM,4522359605.000907,False
ACME-EU-00031,Beacon Asset Corp (31),Jean-Pierre Dubois,CH,PIAO,4737794.1442847885,False
ACME-EU-00032,Aragon Strategic (32),Isabelle Fournier,ES,FAM,2971087820.996279,False
ACME-EU-00033,Beacon Asset Corp (33),Sofia Conti,LU,PIAO,3596783744.516543,False
ACME-EU-00034,Summit Trust (34),Isabelle Fournier,CH,FAM,3094116165.305574,False
ACME-EU-00035,Luminara Equity (35),Jean-Pierre Dubois,CH,FAM,409317144.56690353,False
ACME-EU-00036,Stellar Partners (36),Sarah Müller,BE,FAM,1089406769.0957122,True
ACME-EU-00037,Summit Trust (37),Julia Weber,LU,PIAO,1252450996.6395488,False
ACME-EU-00038,Aragon Strategic (38),Hans Schmidt,ES,PIAO,4158791431.894143,False
ACME-EU-00039,Alpine Peak Capital (39),Hans Schmidt,FR,FAM,2316533982.1082935,False
ACME-EU-00040,Pioneer Equities (40),Jean-Pierre Dubois,NL,PIAO,2434654231.4942427,False
ACME-EU-00041,Crestview Asset (41),Isabelle Fournier,ES,FAM,4674530339.725988,False
ACME-EU-00042,Beacon Asset Corp (42),Robert de Jong,ES,FAM,3185792358.3847227,False
ACME-EU-00043,Marathon Growth (43),Jean-Pierre Dubois,DE,PIAO,4493439840.061767,False
ACME-EU-00044,Vertex Portfolio (44),Julia Weber,ES,PIAO,2283087767.852323,False
ACME-EU-00045,Crestview Asset (45),Jean-Pierre Dubois,LU,PIAO,748031856.3329529,False
ACME-EU-00046,Rhone Global Partners (46),Elena Rossi,DE,FAM,4649748034.776354,False
ACME-EU-00047,Stellar Partners (47),Klaus Fischer,NL,FAM,2294066873.2220235,False
ACME-EU-00048,Vanguard Legacy (48),Luca Bianchi,CH,PIAO,908975477.9722306,False
ACME-EU-00049,Luminara Equity (49),Isabelle Fournier,BE,FAM,1512676305.7793074,True
ACME-EU-00050,Summit Trust (50),Marie Lefebvre,BE,PIAO,254962145.85502228,True
ACME-EU-00051,Vertex Portfolio (51),Ana Garcia,NL,FAM,2342034656.6904693,False
ACME-EU-00052,Luminara Equity (52),Erik Janssen,NL,PIAO,4265787731.379273,False
ACME-EU-00053,Alpine Peak Capital (53),Ana Garcia,LU,PIAO,4667968699.57744,False
ACME-EU-00054,Elysian Fund Mgmt (54),Isabelle Fournier,IT,FAM,4663078435.310715,False
ACME-EU-00055,Nexus Capital EU (55),Marie Lefebvre,CH,PIAO,627024898.1181049,False
ACME-EU-00056,Luminara Equity (56),Paolo Romano,NL,PIAO,1910887358.6727738,False
ACME-EU-00057,Summit Trust (57),Julia Weber,ES,FAM,142115569.49388114,False
ACME-EU-00058,Marathon Growth (58),Elena Rossi,LU,PIAO,4275971559.5123925,False
ACME-EU-00059,Alpine Peak Capital (59),Elena Rossi,BE,FAM,1794420054.3443477,False
ACME-EU-00060,Nexus Capital EU (60),Erik Janssen,FR,PIAO,3155954022.433282,False
ACME-EU-00061,Luminara Equity (61),Sarah Müller,LU,FAM,3574777291.9483657,False
ACME-EU-00062,Stellar Partners (62),Luca Bianchi,BE,PIAO,2149793504.046034,False
ACME-EU-00063,Obsidian Capital (63),Hans Schmidt,DE,PIAO,1532905240.4146647,False
ACME-EU-00064,Crestview Asset (64),Marco Moretti,LU,PIAO,4811102337.669607,False
ACME-EU-00065,Vertex Portfolio (65),Julia Weber,BE,PIAO,4822476636.894247,False
ACME-EU-00066,Stellar Partners (66),Erik Janssen,IT,FAM,1447892403.7820797,False
ACME-EU-00067,Vertex Portfolio (67),Marco Moretti,LU,FAM,2398645858.625546,False
ACME-EU-00068,Obsidian Capital (68),Sofia Conti,LU,FAM,4864247949.141452,False
ACME-EU-00069,Ironclad Holdings (69),Marco Moretti,CH,FAM,25337169.869860627,True
ACME-EU-00070,Summit Trust (70),Isabelle Fournier,NL,FAM,2063978563.647367,False
ACME-EU-00071,Crestview Asset (71),Erik Janssen,CH,FAM,503187290.8551612,True
ACME-EU-00072,Ironclad Holdings (72),Ana Garcia,LU,FAM,2546280669.8474507,False
ACME-EU-00073,Aragon Strategic (73),Ana Garcia,NL,PIAO,124325102.74789526,True
ACME-EU-00074,Crestview Asset (74),Hans Schmidt,BE,PIAO,2035085258.5217488,False
ACME-EU-00075,Ironclad Holdings (75),Erik Janssen,FR,PIAO,1104274674.8518903,False
ACME-EU-00076,Silverstone Ventures (76),Isabelle Fournier,FR,PIAO,2667008503.9312453,False
ACME-EU-00077,Beacon Asset Corp (77),Marco Moretti,LU,FAM,4979972251.854398,False
ACME-EU-00078,Aragon Strategic (78),Marie Lefebvre,IT,FAM,4002879989.5286117,False
ACME-EU-00079,Silverstone Ventures (79),Sofia Conti,DE,FAM,4228364816.0304823,False
ACME-EU-00080,Marathon Growth (80),Paolo Romano,BE,PIAO,3176689671.8080454,False
ACME-EU-00081,Vertex Portfolio (81),Klaus Fischer,NL,FAM,208757681.51302055,True
ACME-EU-00082,Solaris Institutional (82),Robert de Jong,LU,PIAO,1034781582.5446764,False
ACME-EU-00083,Azure Blue Fund (83),Ana Garcia,BE,FAM,4625397717.678828,True
ACME-EU-00084,Vanguard Legacy (84),Julia Weber,LU,FAM,1831199476.5258274,False
ACME-EU-00085,Vertex Portfolio (85),Marie Lefebvre,IT,FAM,519079995.6774971,False
ACME-EU-00086,Rhone Global Partners (86),Julia Weber,ES,FAM,3512324423.9651437,False
ACME-EU-00087,Rhone Global Partners (87),Sarah Müller,ES,PIAO,1497989161.9473388,False
ACME-EU-00088,Silverstone Ventures (88),Erik Janssen,IT,PIAO,1345015707.6079543,False
ACME-EU-00089,Nordic Horizon Wealth (89),Jean-Pierre Dubois,NL,FAM,4989889300.335744,False
ACME-EU-00090,Nexus Capital EU (90),Robert de Jong,CH,PIAO,4290836486.2082453,False
ACME-EU-00091,Beacon Asset Corp (91),Ana Garcia,IT,FAM,2040281154.0208373,False
ACME-EU-00092,Aragon Strategic (92),Sofia Conti,LU,FAM,4901325777.874679,False
ACME-EU-00093,Beacon Asset Corp (93),Elena Rossi,NL,FAM,3250916003.8726487,False
ACME-EU-00094,Aragon Strategic (94),Ana Garcia,FR,FAM,3710370236.9469213,False
ACME-EU-00095,Vertex Portfolio (95),Marie Lefebvre,IT,PIAO,158533702.36797574,False
ACME-EU-00096,Marathon Growth (96),Sarah Müller,NL,FAM,608904691.4809375,False
ACME-EU-00097,Alpine Peak Capital (97),Julia Weber,IT,FAM,3165792547.354696,False
ACME-EU-00098,Silverstone Ventures (98),Marco Moretti,IT,PIAO,4495220889.2647705,False
ACME-EU-00099,Obsidian Capital (99),Elena Rossi,CH,FAM,3119094886.7118907,False
ACME-EU-00100,Nordic Horizon Wealth (100),Isabelle Fournier,CH,PIAO,670990446.70064,False
ACME-EU-00101,Rhone Global Partners (101),Luca Bianchi,LU,FAM,579684471.1853769,False
ACME-EU-00102,Marathon Growth (102),Marco Moretti,NL,FAM,4221085293.224584,False
ACME-EU-00103,Vertex Portfolio (103),Luca Bianchi,NL,FAM,697372391.2008636,False
ACME-EU-00104,Rhone Global Partners (104),Robert de Jong,DE,FAM,2601639570.5596232,False
ACME-EU-00105,Silverstone Ventures (105),Paolo Romano,IT,FAM,186529486.49154904,False
ACME-EU-00106,Rhone Global Partners (106),Jean-Pierre Dubois,ES,FAM,404268167.1884957,False
ACME-EU-00107,Nordic Horizon Wealth (107),Paolo Romano,IT,PIAO,3362068989.946681,True
ACME-EU-00108,Crestview Asset (108),Elena Rossi,IT,FAM,3446217870.7271557,False
ACME-EU-00109,Stellar Partners (109),Hans Schmidt,NL,PIAO,1708005563.6356034,False
ACME-EU-00110,Rhone Global Partners (110),Elena Rossi,IT,PIAO,1078833216.4499807,False
ACME-EU-00111,Silverstone Ventures (111),Paolo Romano,BE,FAM,4068737643.5157824,True
ACME-EU-00112,Nordic Horizon Wealth (112),Ana Garcia,IT,PIAO,1086299044.119982,True
ACME-EU-00113,Stellar Partners (113),Marie Lefebvre,BE,FAM,2710593321.2622323,True
ACME-EU-00114,Beacon Asset Corp (114),Julia Weber,CH,PIAO,4841075995.473664,True
ACME-EU-00115,Aragon Strategic (115),Ana Garcia,ES,FAM,740114336.8740565,False
ACME-EU-00116,Crestview Asset (116),Ana Garcia,LU,PIAO,4704440461.20605,False
ACME-EU-00117,Crestview Asset (117),Marie Lefebvre,NL,PIAO,915282372.2902746,False
ACME-EU-00118,Nexus Capital EU (118),Marie Lefebvre,IT,FAM,2837648596.9081244,False
ACME-EU-00119,Ironclad Holdings (119),Robert de Jong,BE,PIAO,1885661552.0817642,False
ACME-EU-00120,Azure Blue Fund (120),Marco Moretti,BE,FAM,4824678078.907628,False
ACME-EU-00121,Beacon Asset Corp (121),Hans Schmidt,CH,FAM,1368436602.9806826,False
ACME-EU-00122,Vanguard Legacy (122),Hans Schmidt,BE,FAM,1998890352.4266825,False
ACME-EU-00123,Pioneer Equities (123),Ana Garcia,LU,FAM,4914317729.159247,True
ACME-EU-00124,Luminara Equity (124),Luca Bianchi,FR,FAM,2682815485.5511775,False
ACME-EU-00125,Nordic Horizon Wealth (125),Robert de Jong,DE,PIAO,2513647947.9906464,False
ACME-EU-00126,Beacon Asset Corp (126),Erik Janssen,LU,PIAO,1289634662.5317526,True
ACME-EU-00127,Ironclad Holdings (127),Erik Janssen,ES,PIAO,3507116437.9918966,True
ACME-EU-00128,Crestview Asset (128),Sofia Conti,LU,FAM,72850385.93711044,False
ACME-EU-00129,Solaris Institutional (129),Ana Garcia,CH,PIAO,248513635.88176537,True
ACME-EU-00130,Luminara Equity (130),Jean-Pierre Dubois,CH,PIAO,2997193577.091878,False
ACME-EU-00131,Ironclad Holdings (131),Julia Weber,LU,PIAO,1709031194.5184522,True
ACME-EU-00132,Beacon Asset Corp (132),Marie Lefebvre,IT,PIAO,4766628544.632602,False
ACME-EU-00133,Azure Blue Fund (133),Marco Moretti,FR,PIAO,4516050262.923205,False
ACME-EU-00134,Alpine Peak Capital (134),Isabelle Fournier,IT,FAM,3568817587.1248593,False
ACME-EU-00135,Nexus Capital EU (135),Marie Lefebvre,IT,FAM,4090909760.057879,False
ACME-EU-00136,Ironclad Holdings (136),Jean-Pierre Dubois,LU,PIAO,3336991916.488799,False
ACME-EU-00137,Elysian Fund Mgmt (137),Luca Bianchi,NL,FAM,628784931.4480933,False
ACME-EU-00138,Marathon Growth (138),Elena Rossi,NL,FAM,3827951305.076324,False
ACME-EU-00139,Marathon Growth (139),Klaus Fischer,NL,PIAO,1051749651.6255131,True
ACME-EU-00140,Pioneer Equities (140),Elena Rossi,FR,PIAO,1617890832.6458836,True
ACME-EU-00141,Solaris Institutional (141),Paolo Romano,IT,FAM,4096351826.2999988,False
ACME-EU-00142,Beacon Asset Corp (142),Jean-Pierre Dubois,DE,PIAO,2683091516.3588476,False
ACME-EU-00143,Silverstone Ventures (143),Paolo Romano,ES,FAM,4299843630.202863,False
ACME-EU-00144,Silverstone Ventures (144),Ana Garcia,NL,FAM,1065963563.8964777,False
ACME-EU-00145,Pioneer Equities (145),Isabelle Fournier,NL,PIAO,3039284414.595829,False
ACME-EU-00146,Ironclad Holdings (146),Sarah Müller,CH,FAM,419871071.76875985,False
ACME-EU-00147,Aragon Strategic (147),Marie Lefebvre,IT,FAM,3215661906.7066083,False
ACME-EU-00148,Rhone Global Partners (148),Sarah Müller,IT,FAM,3812907654.839898,True
ACME-EU-00149,Beacon Asset Corp (149),Luca Bianchi,FR,PIAO,2925069538.9996295,False
ACME-EU-00150,Elysian Fund Mgmt (150),Ana Garcia,FR,PIAO,1331891275.9925525,False
ACME-EU-00151,Vertex Portfolio (151),Hans Schmidt,NL,PIAO,157682001.62547472,False
ACME-EU-00152,Aragon Strategic (152),Marie Lefebvre,IT,PIAO,598124970.9374646,False
ACME-EU-00153,Nordic Horizon Wealth (153),Paolo Romano,DE,FAM,3111892592.391057,False
ACME-EU-00154,Silverstone Ventures (154),Hans Schmidt,ES,PIAO,4672166663.995727,False
ACME-EU-00155,Azure Blue Fund (155),Marco Moretti,LU,PIAO,1033465485.4560599,True
ACME-EU-00156,Nexus Capital EU (156),Sofia Conti,IT,PIAO,3675395719.376389,True
ACME-EU-00157,Marathon Growth (157),Isabelle Fournier,CH,PIAO,4332388865.181958,False
